OmaTunniste;OmaIta;OmaPohjoinen;Kunta;siteid;aika;vuosi;kk;paiva;longitude;latitude;t_mean;t_max;t_min;rainfall;radiation;hpa
;;;Parkano;1060;19930101;1993;1;1;3275000;6885000;-0.6;0.5;-5.5;0;428;5.29
;;;Parkano;1060;19930102;1993;1;2;3275000;6885000;-0.1;0.4;-0.7;0;444;5.24
;;;Parkano;1060;19930103;1993;1;3;3275000;6885000;0.7;1.2;0;0;444;5.92
;;;Parkano;1060;19930104;1993;1;4;3275000;6885000;-2.3;0.5;-3.4;0;699;4.48
;;;Parkano;1060;19930105;1993;1;5;3275000;6885000;-0.8;-0.2;-3.2;3;535;4.52
;;;Parkano;1060;19930106;1993;1;6;3275000;6885000;0.2;1.3;-1.7;4;513;5.98
;;;Parkano;1060;19930107;1993;1;7;3275000;6885000;-1.6;1.5;-6.2;0;526;5.21
;;;Parkano;1060;19930108;1993;1;8;3275000;6885000;-1.3;1.1;-7.1;2;513;5.35
;;;Parkano;1060;19930109;1993;1;9;3275000;6885000;-1.2;0.7;-3;10;744;5.35
;;;Parkano;1060;19930110;1993;1;10;3275000;6885000;0.2;1.6;-0.7;5;815;5.91
;;;Parkano;1060;19930111;1993;1;11;3275000;6885000;0.7;3.8;-1.9;8;571;6.01
;;;Parkano;1060;19930112;1993;1;12;3275000;6885000;-0.5;1;-1.3;0;659;5.26
;;;Parkano;1060;19930113;1993;1;13;3275000;6885000;-2.6;-0.7;-6;0;840;5
;;;Parkano;1060;19930114;1993;1;14;3275000;6885000;-0.2;0.4;-2.7;3;621;6.01
;;;Parkano;1060;19930115;1993;1;15;3275000;6885000;-1.9;0.1;-4;4;1026;4.97
;;;Parkano;1060;19930116;1993;1;16;3275000;6885000;0.4;2;-3.4;0;886;6
;;;Parkano;1060;19930117;1993;1;17;3275000;6885000;-1.1;2.3;-5.3;10;901;5.67
;;;Parkano;1060;19930118;1993;1;18;3275000;6885000;0.8;4.4;-0.7;0;958;5.38
;;;Parkano;1060;19930119;1993;1;19;3275000;6885000;-5.6;0.4;-10.5;0;749;3.61
;;;Parkano;1060;19930120;1993;1;20;3275000;6885000;-5.9;-0.9;-15.3;2;937;4.02
;;;Parkano;1060;19930121;1993;1;21;3275000;6885000;1;1.7;-0.9;2;787;6.16
;;;Parkano;1060;19930122;1993;1;22;3275000;6885000;-0.1;1.4;-1;7;806;5.82
;;;Parkano;1060;19930123;1993;1;23;3275000;6885000;-4.4;0.1;-6.9;0;1374;3.95
;;;Parkano;1060;19930124;1993;1;24;3275000;6885000;-12;-6.8;-17.4;0;1293;2.34
;;;Parkano;1060;19930125;1993;1;25;3275000;6885000;-8.4;-7.2;-10.5;1;879;2.94
;;;Parkano;1060;19930126;1993;1;26;3275000;6885000;-11.5;-8.3;-14.3;0;1607;2.3
;;;Parkano;1060;19930127;1993;1;27;3275000;6885000;-12;-9.4;-17.1;0;1288;2.14
;;;Parkano;1060;19930128;1993;1;28;3275000;6885000;-12.2;-7.4;-17.5;0;1839;2.14
;;;Parkano;1060;19930129;1993;1;29;3275000;6885000;-8.2;-6.9;-13.8;0;1259;3.04
;;;Parkano;1060;19930130;1993;1;30;3275000;6885000;-6.5;-3.7;-11.2;0;1056;3.55
;;;Parkano;1060;19930131;1993;1;31;3275000;6885000;-1.6;0.2;-4.6;0;1315;4.96
;;;Parkano;1060;19930201;1993;2;1;3275000;6885000;3;5.5;-1.3;0;1302;4.73
;;;Parkano;1060;19930202;1993;2;2;3275000;6885000;1.7;5.7;-0.7;0;2267;4.91
;;;Parkano;1060;19930203;1993;2;3;3275000;6885000;0.2;2.6;-2.6;0;1543;5.19
;;;Parkano;1060;19930204;1993;2;4;3275000;6885000;1.5;2.4;0.1;1;1227;6.15
;;;Parkano;1060;19930205;1993;2;5;3275000;6885000;-1.7;0.8;-3;0;2377;3.68
;;;Parkano;1060;19930206;1993;2;6;3275000;6885000;-3;-0.4;-4.6;0;2662;2.69
;;;Parkano;1060;19930207;1993;2;7;3275000;6885000;-5;-1.4;-10.9;1;2162;3.81
;;;Parkano;1060;19930208;1993;2;8;3275000;6885000;2.1;4.9;-2.6;0;2515;5.67
;;;Parkano;1060;19930209;1993;2;9;3275000;6885000;2.9;5;-0.7;1;2358;4.95
;;;Parkano;1060;19930210;1993;2;10;3275000;6885000;-5.5;-0.5;-9.2;1;2749;3.39
;;;Parkano;1060;19930211;1993;2;11;3275000;6885000;-2.5;1.9;-9.6;0;1585;5.1
;;;Parkano;1060;19930212;1993;2;12;3275000;6885000;-0.9;0.9;-2;0;1534;5.67
;;;Parkano;1060;19930213;1993;2;13;3275000;6885000;-0.8;2;-2.9;0;2015;5.49
;;;Parkano;1060;19930214;1993;2;14;3275000;6885000;-0.6;0.8;-2.1;0;1506;5.38
;;;Parkano;1060;19930215;1993;2;15;3275000;6885000;0.1;1;-1;4;1545;5.49
;;;Parkano;1060;19930216;1993;2;16;3275000;6885000;-1.2;0.5;-3.9;0;3642;5.03
;;;Parkano;1060;19930217;1993;2;17;3275000;6885000;-8.7;-3.5;-14.8;0;4013;3.18
;;;Parkano;1060;19930218;1993;2;18;3275000;6885000;-7.6;-4.1;-11.3;0;3889;2.4
;;;Parkano;1060;19930219;1993;2;19;3275000;6885000;-8.8;-7.9;-10;4;1637;2.73
;;;Parkano;1060;19930220;1993;2;20;3275000;6885000;-12.5;-8.5;-14.6;0;3863;1.95
;;;Parkano;1060;19930221;1993;2;21;3275000;6885000;-14.9;-11.1;-19.5;0;4149;1.64
;;;Parkano;1060;19930222;1993;2;22;3275000;6885000;-15;-9.7;-20.5;0;4734;1.68
;;;Parkano;1060;19930223;1993;2;23;3275000;6885000;-12.6;-7.5;-16.8;0;4622;2.17
;;;Parkano;1060;19930224;1993;2;24;3275000;6885000;-7.5;-3.6;-15;1;2056;3.46
;;;Parkano;1060;19930225;1993;2;25;3275000;6885000;-3.9;-2.4;-6.9;0;2056;4.35
;;;Parkano;1060;19930226;1993;2;26;3275000;6885000;-6.1;-2.9;-7.2;0;2488;3.29
;;;Parkano;1060;19930227;1993;2;27;3275000;6885000;-5.4;-3.7;-6.9;1;2509;3.62
;;;Parkano;1060;19930228;1993;2;28;3275000;6885000;-6.1;-2.8;-9.3;0;4432;3.27
;;;Parkano;1060;19930301;1993;3;1;3275000;6885000;-4.3;-2.5;-6.9;0;3049;3.59
;;;Parkano;1060;19930302;1993;3;2;3275000;6885000;-4;0.2;-6.9;0;4549;3.92
;;;Parkano;1060;19930303;1993;3;3;3275000;6885000;-3.8;1.7;-8.8;0;5334;3.98
;;;Parkano;1060;19930304;1993;3;4;3275000;6885000;-2.9;-1.9;-6.8;0;2464;4.65
;;;Parkano;1060;19930305;1993;3;5;3275000;6885000;-2.4;-1.6;-3.5;14;2383;4.81
;;;Parkano;1060;19930306;1993;3;6;3275000;6885000;-2.6;-1.5;-3.8;3;2565;4.7
;;;Parkano;1060;19930307;1993;3;7;3275000;6885000;-6.2;-3.6;-8.7;0;4193;3.56
;;;Parkano;1060;19930308;1993;3;8;3275000;6885000;-4.1;-2.2;-9.4;0;2302;4.14
;;;Parkano;1060;19930309;1993;3;9;3275000;6885000;0.4;1.4;-2.6;0;2749;5.14
;;;Parkano;1060;19930310;1993;3;10;3275000;6885000;-2.8;2.2;-5.3;0;7427;2.42
;;;Parkano;1060;19930311;1993;3;11;3275000;6885000;-6.2;0.8;-16.8;0;3766;3.1
