OmaTunniste;OmaIta;OmaPohjoinen;Kunta;siteid;aika;vuosi;kk;paiva;longitude;latitude;t_mean;t_max;t_min;rainfall;radiation;hpa
;;;Parkano;1060;20080101;2008;1;1;3275000;6885000;-0.4;0.2;-1.8;0.4;162;5.57
;;;Parkano;1060;20080102;2008;1;2;3275000;6885000;-3.6;-0.3;-6.6;0;314;4.1
;;;Parkano;1060;20080103;2008;1;3;3275000;6885000;-6.1;-4.7;-8.5;0;328;3.32
;;;Parkano;1060;20080104;2008;1;4;3275000;6885000;-7.7;-6.1;-9;0;1101;2.66
;;;Parkano;1060;20080105;2008;1;5;3275000;6885000;-8;-7;-9;0;745;1.92
;;;Parkano;1060;20080106;2008;1;6;3275000;6885000;-6;-4.7;-8.2;1.2;576;2.65
;;;Parkano;1060;20080107;2008;1;7;3275000;6885000;-5.5;-4.8;-6.1;5.4;325;3.75
;;;Parkano;1060;20080108;2008;1;8;3275000;6885000;-3.6;-2.1;-5;2.9;210;4.46
;;;Parkano;1060;20080109;2008;1;9;3275000;6885000;-3.6;-2.5;-4.7;2.7;273;4.45
;;;Parkano;1060;20080110;2008;1;10;3275000;6885000;0.4;1;-3.5;2.4;324;6.1
;;;Parkano;1060;20080111;2008;1;11;3275000;6885000;1.8;3.4;0;8;183;6.67
;;;Parkano;1060;20080112;2008;1;12;3275000;6885000;1;2.1;0.1;9.1;327;6.24
;;;Parkano;1060;20080113;2008;1;13;3275000;6885000;0.8;3.2;-1.2;2.6;244;6.25
;;;Parkano;1060;20080114;2008;1;14;3275000;6885000;0.9;3;-1.1;2.2;276;6.39
;;;Parkano;1060;20080115;2008;1;15;3275000;6885000;2.5;3.2;1;1.6;130;7.05
;;;Parkano;1060;20080116;2008;1;16;3275000;6885000;1.9;3.1;1.3;7.9;156;6.78
;;;Parkano;1060;20080117;2008;1;17;3275000;6885000;2.8;4.2;1;3.7;300;6.81
;;;Parkano;1060;20080118;2008;1;18;3275000;6885000;2.3;3.4;1.6;5.3;252;6.81
;;;Parkano;1060;20080119;2008;1;19;3275000;6885000;1.2;1.9;0.6;5.7;301;6.44
;;;Parkano;1060;20080120;2008;1;20;3275000;6885000;-0.1;1.8;-0.5;2;654;5.72
;;;Parkano;1060;20080121;2008;1;21;3275000;6885000;-2.6;-0.4;-4.2;0.9;442;4.89
;;;Parkano;1060;20080122;2008;1;22;3275000;6885000;-2.7;-2.1;-3.6;0.1;507;4.59
;;;Parkano;1060;20080123;2008;1;23;3275000;6885000;-3.7;-2;-6;0.1;835;4.09
;;;Parkano;1060;20080124;2008;1;24;3275000;6885000;-1.6;2.5;-7.4;4.6;369;5.21
;;;Parkano;1060;20080125;2008;1;25;3275000;6885000;0;2.6;-0.9;0.8;1607;5.69
;;;Parkano;1060;20080126;2008;1;26;3275000;6885000;-1.2;0.1;-3.2;0.7;1097;5.37
;;;Parkano;1060;20080127;2008;1;27;3275000;6885000;-4.5;-2.2;-6.7;0;2153;4.09
;;;Parkano;1060;20080128;2008;1;28;3275000;6885000;-5.1;-0.5;-13.5;0.1;781;4.02
;;;Parkano;1060;20080129;2008;1;29;3275000;6885000;0.8;2.5;-1.6;0;658;6.28
;;;Parkano;1060;20080130;2008;1;30;3275000;6885000;-1.9;2.4;-3.2;2.3;568;5.12
;;;Parkano;1060;20080131;2008;1;31;3275000;6885000;-3.5;-0.8;-7.9;0;2519;4.47
