OmaTunniste;OmaIta;OmaPohjoinen;Kunta;siteid;aika;vuosi;kk;paiva;longitude;latitude;t_mean;t_max;t_min;rainfall;radiation;hpa
;;;Parkano;1060;20140101;2014;1;1;3275000;6885000;2.7;3.7;2;0;173;6.71
;;;Parkano;1060;20140102;2014;1;2;3275000;6885000;0;2.2;-0.6;0.4;113;5.74
;;;Parkano;1060;20140103;2014;1;3;3275000;6885000;-0.4;0;-0.8;0.3;131;5.4
;;;Parkano;1060;20140104;2014;1;4;3275000;6885000;0.4;0.9;0;2.8;89;6.25
;;;Parkano;1060;20140105;2014;1;5;3275000;6885000;1.1;2.3;0.1;0;199;6.65
;;;Parkano;1060;20140106;2014;1;6;3275000;6885000;0.6;1.9;-0.1;1.5;152;6.35
;;;Parkano;1060;20140107;2014;1;7;3275000;6885000;2.9;3.8;0.3;1.2;140;7.52
;;;Parkano;1060;20140108;2014;1;8;3275000;6885000;3.9;4.5;3.2;0.9;183;8.07
;;;Parkano;1060;20140109;2014;1;9;3275000;6885000;0.9;3.6;-0.2;0.5;269;6.55
;;;Parkano;1060;20140110;2014;1;10;3275000;6885000;-2.1;0.2;-4.5;0.7;301;5.16
;;;Parkano;1060;20140111;2014;1;11;3275000;6885000;-7.6;-4.4;-9.2;5.7;291;3.2
;;;Parkano;1060;20140112;2014;1;12;3275000;6885000;-12.2;-9.2;-13.4;0.5;505;2.11
;;;Parkano;1060;20140113;2014;1;13;3275000;6885000;-16.7;-11.4;-18.6;0;1647;1.48
;;;Parkano;1060;20140114;2014;1;14;3275000;6885000;-19.2;-16.6;-21.9;0;1475;1.17
;;;Parkano;1060;20140115;2014;1;15;3275000;6885000;-13.3;-9.9;-18.7;0;1316;1.97
;;;Parkano;1060;20140116;2014;1;16;3275000;6885000;-16.9;-13.7;-18.5;0;2261;1.45
;;;Parkano;1060;20140117;2014;1;17;3275000;6885000;-18.1;-14.5;-19.6;0;2306;1.3
;;;Parkano;1060;20140118;2014;1;18;3275000;6885000;-19.1;-15.5;-20.5;0;2316;1.2
;;;Parkano;1060;20140119;2014;1;19;3275000;6885000;-19.5;-13.8;-22.6;0;2471;1.15
;;;Parkano;1060;20140120;2014;1;20;3275000;6885000;-18.9;-14.9;-20.6;0;2304;1.21
;;;Parkano;1060;20140121;2014;1;21;3275000;6885000;-15.4;-12.1;-21.6;0.1;1349;1.75
;;;Parkano;1060;20140122;2014;1;22;3275000;6885000;-14.5;-9.6;-18.9;0;2057;1.88
;;;Parkano;1060;20140123;2014;1;23;3275000;6885000;-18.3;-15.4;-22.5;0;1949;1.3
;;;Parkano;1060;20140124;2014;1;24;3275000;6885000;-13.8;-10.2;-18.9;0;1050;1.99
;;;Parkano;1060;20140125;2014;1;25;3275000;6885000;-6.2;-5.1;-10.3;0.1;603;3.58
;;;Parkano;1060;20140126;2014;1;26;3275000;6885000;-6.7;-5.5;-7.5;0;823;3.29
;;;Parkano;1060;20140127;2014;1;27;3275000;6885000;-12.4;-7.2;-14;0.2;1685;2.15
;;;Parkano;1060;20140128;2014;1;28;3275000;6885000;-13.5;-11.5;-15.4;0;2516;1.91
;;;Parkano;1060;20140129;2014;1;29;3275000;6885000;-12.9;-9.4;-14.8;0;3019;2.05
;;;Parkano;1060;20140130;2014;1;30;3275000;6885000;-14.4;-11.3;-16.8;0;3751;1.81
;;;Parkano;1060;20140131;2014;1;31;3275000;6885000;-13.1;-11;-16.1;4.4;997;2
;;;Parkano;1060;20140201;2014;2;1;3275000;6885000;-7.7;-6.3;-11.1;0.1;480;3.24
;;;Parkano;1060;20140202;2014;2;2;3275000;6885000;-4.5;-3.6;-6.4;0.6;700;4.23
